DATE,PRCP,TMAX,TMIN
2015-01-12,0,16,3.8999999999999999
2015-01-14,0,16.199999999999999,5.2000000000000002
2015-01-17,0,14.6,7.9000000000000004
2015-01-18,0,13.9,2.8999999999999999
2015-01-26,0,13.699999999999999,0.90000000000000002
2015-02-07,16,12.6,4.7000000000000002
2015-03-26,6,16.800000000000001,11.699999999999999
2015-03-28,0,19.300000000000001,4.2999999999999998
2015-04-04,38,17.300000000000001,11.5
2015-04-23,8,22.399999999999999,10.1
2015-05-23,0,21.699999999999999,9.8000000000000007
2015-05-28,0,22.5,12.300000000000001
2015-06-04,0,26.100000000000001,13.699999999999999
2015-07-18,0,33.399999999999999,21.199999999999999
2015-07-26,0,28.699999999999999,18.300000000000001
2015-08-27,0,29.5,17.399999999999999
2015-08-31,0,29.899999999999999,18.5
2015-09-29,0,24.5,15.1
2015-10-08,0,23,12.6
2015-12-01,0,17.5,5.9000000000000004
2015-12-17,2,17,6.4000000000000004
2015-12-21,0,17.5,5.2000000000000002
2015-02-01,2,12.4,5.4000000000000004
2015-02-12,0,15.699999999999999,2.7000000000000002
2015-02-14,172,15.1,5.4000000000000004
2015-03-03,0,17.899999999999999,7
2015-03-10,0,15.199999999999999,3
2015-03-13,0,15.6,3.7999999999999998
2015-03-15,80,15.5,9.0999999999999996
2015-03-22,0,16,9.3000000000000007
2015-03-25,4,16.199999999999999,11.5
2015-04-18,0,19.600000000000001,11.4
2015-04-21,0,19.5,6.7000000000000002
2015-04-25,0,21.300000000000001,11.1
2015-06-14,6,26.100000000000001,21
2015-07-08,0,30.699999999999999,20
2015-07-21,0,31.100000000000001,20.600000000000001
2015-08-24,0,29.300000000000001,22.5
2015-08-26,0,28.100000000000001,14.800000000000001
2015-09-28,208,24.800000000000001,14
2015-10-12,0,23.100000000000001,14.300000000000001
2015-10-18,0,24,11
2015-11-18,0,20.5,10.6
2015-11-24,0,16.899999999999999,5.0999999999999996
2015-12-23,2,17,5.7999999999999998
2015-01-28,28,13.9,2
2015-02-20,0,15.1,2.5
2015-02-26,0,15,5.2000000000000002
2015-03-09,0,14.6,3.6000000000000001
2015-03-18,0,17.899999999999999,8.0999999999999996
2015-03-21,0,16.899999999999999,8.3000000000000007
2015-03-27,0,18.5,7.4000000000000004
2015-04-17,0,19.699999999999999,13.9
2015-05-01,0,21.199999999999999,8.1999999999999993
2015-05-20,6,21.199999999999999,14.699999999999999
2015-06-10,0,30.100000000000001,17.5
2015-06-20,0,26.899999999999999,18.600000000000001
2015-07-25,0,31.300000000000001,23.399999999999999
2015-08-18,2,28.100000000000001,15.4
2015-09-01,0,31.699999999999999,18.5
2015-10-03,2,25.399999999999999,12.199999999999999
2015-11-15,0,20.5,10.199999999999999
2015-12-05,0,16.899999999999999,9.3000000000000007
2015-12-07,24,17.800000000000001,10.300000000000001
2015-12-20,2,17.199999999999999,7.2999999999999998
2015-01-06,0,16,3.8999999999999999
2015-02-05,0,12.6,6.4000000000000004
2015-03-04,220,14.5,5.0999999999999996
2015-04-01,0,17.600000000000001,9.5
2015-05-22,0,22.800000000000001,8.5999999999999996
2015-06-03,0,28.699999999999999,13.800000000000001
2015-06-09,0,26.899999999999999,16.600000000000001
2015-06-11,0,30.699999999999999,17.5
2015-06-13,8,30,19
2015-06-16,161,25.899999999999999,17.300000000000001
2015-07-17,0,34.399999999999999,21.199999999999999
2015-07-30,61,30.5,20.300000000000001
2015-08-03,0,29.600000000000001,16.899999999999999
2015-08-05,0,29.399999999999999,19.899999999999999
2015-08-07,0,31.300000000000001,21.199999999999999
2015-08-19,0,27.600000000000001,16.399999999999999
2015-09-04,2,27.399999999999999,17.199999999999999
2015-09-09,0,27.399999999999999,14.5
2015-10-20,0,21.699999999999999,12.699999999999999
2015-11-23,33,13.9,5.4000000000000004
2015-02-25,12,16.399999999999999,4.9000000000000004
2015-03-16,153,13.699999999999999,6.7000000000000002
2015-03-30,0,18.600000000000001,9.4000000000000004
2015-03-31,0,20.100000000000001,8.5
2015-04-12,0,18.800000000000001,5.4000000000000004
2015-05-06,0,32.399999999999999,16.5
2015-05-08,0,23.699999999999999,7.7000000000000002
2015-05-15,0,21.600000000000001,16.899999999999999
2015-05-24,0,22.100000000000001,14.5
2015-05-27,4,23.199999999999999,11.800000000000001
2015-06-17,0,26.399999999999999,15.6
2015-06-27,0,26.699999999999999,15.6
2015-08-21,0,27.800000000000001,16.100000000000001
2015-08-22,0,28.300000000000001,15.800000000000001
2015-09-08,0,28.699999999999999,14.800000000000001
2015-09-16,0,30.5,17
2015-10-01,791,24.100000000000001,14.800000000000001
2015-11-12,0,19.600000000000001,13.9
2015-11-21,146,18.300000000000001,14.1
2015-11-25,64,10.800000000000001,3.5
2015-12-10,0,16.800000000000001,6.7000000000000002
2015-12-15,0,16.300000000000001,4.5
2015-12-30,0,17,10
2015-01-10,0,17.800000000000001,7.0999999999999996
2015-02-09,0,13.300000000000001,1.3999999999999999
2015-02-11,0,14.5,2
2015-03-05,0,13.699999999999999,7.2000000000000002
2015-05-03,0,25.300000000000001,12
2015-05-25,0,23.199999999999999,11.1
2015-05-30,0,24.100000000000001,11.699999999999999
2015-06-18,0,26,16.300000000000001
2015-06-25,0,29.399999999999999,16.600000000000001
2015-06-29,0,29,19.300000000000001
2015-07-10,0,29.800000000000001,21
2015-08-04,0,30.800000000000001,19.5
2015-08-06,0,30.100000000000001,20.100000000000001
2015-08-14,0,30,20.199999999999999
2015-09-03,0,27.899999999999999,16.300000000000001
2015-09-12,49,29.600000000000001,16.199999999999999
2015-09-24,0,25.399999999999999,10.699999999999999
2015-10-19,0,23.399999999999999,12.199999999999999
2015-10-23,0,20.600000000000001,7.9000000000000004
2015-11-10,0,21.800000000000001,14.699999999999999
2015-11-16,0,20.300000000000001,9.5999999999999996
2015-01-20,2,13.699999999999999,4.2999999999999998
2015-11-22,82,13.800000000000001,5.0999999999999996
2015-01-21,48,14.699999999999999,3.7999999999999998
2015-01-30,0,13.199999999999999,9.4000000000000004
2015-02-17,0,16.699999999999999,8.5
2015-01-31,0,14,7.0999999999999996
2015-03-02,0,16.600000000000001,9.0999999999999996
2015-02-10,0,13.9,0.90000000000000002
2015-03-08,0,15.300000000000001,2.1000000000000001
2015-02-15,151,13.800000000000001,5
2015-03-12,0,16.699999999999999,4.9000000000000004
2015-03-01,24,12.5,4.2000000000000002
2015-04-02,0,17.100000000000001,4.5
2015-03-14,14,16.300000000000001,6.7000000000000002
2015-04-06,0,16.699999999999999,4.2999999999999998
2015-03-23,0,16.899999999999999,6.5
2015-04-07,0,16.699999999999999,2.7000000000000002
2015-04-13,0,18.5,6.0999999999999996
2015-04-09,0,17.699999999999999,4.2000000000000002
2015-04-24,0,20.300000000000001,8.1999999999999993
2015-01-09,0,16.199999999999999,7.0999999999999996
2015-05-07,0,24.399999999999999,11.699999999999999
2015-05-12,0,25.399999999999999,13
2015-01-15,0,16.300000000000001,3.7999999999999998
2015-05-13,0,24.5,11.4
2015-05-17,0,23.800000000000001,10.9
2015-02-28,0,13.1,3.6000000000000001
2015-06-28,0,27.100000000000001,16.300000000000001
2015-05-26,159,22.300000000000001,10.4
2015-04-29,2,18.600000000000001,7.9000000000000004
2015-07-22,0,31.800000000000001,20.600000000000001
2015-05-29,0,22.5,10.300000000000001
2015-05-11,0,25.300000000000001,12.4
2015-08-13,0,30.699999999999999,20.199999999999999
2015-06-22,0,26.199999999999999,16
2015-06-07,0,27.899999999999999,17.199999999999999
2015-09-07,0,26.100000000000001,14.1
2015-07-11,0,31.899999999999999,19.800000000000001
2015-07-07,0,32.299999999999997,20.300000000000001
2015-09-11,0,27.899999999999999,16.199999999999999
2015-08-02,0,29.699999999999999,18.100000000000001
2015-07-29,0,29,16.699999999999999
2015-10-15,0,18.100000000000001,10.699999999999999
2015-08-12,0,30.199999999999999,20.199999999999999
2015-08-01,0,30.199999999999999,19.5
2015-10-24,0,21.5,9.3000000000000007
2015-09-13,0,29.5,18.399999999999999
2015-09-06,0,24.5,14.1
2015-10-29,12,19.600000000000001,11.699999999999999
2015-09-18,0,28.199999999999999,18.699999999999999
2015-10-04,0,27.100000000000001,18.199999999999999
2015-11-27,0,16.5,3.2000000000000002
2015-09-27,18,25.5,14.300000000000001
2015-10-17,0,20.600000000000001,8.3000000000000007
2015-11-30,0,17.800000000000001,5.5
2015-10-05,0,25.5,16.699999999999999
2015-10-21,4,20.5,11.699999999999999
2015-12-08,0,17.899999999999999,7.5
2015-10-11,2,23.399999999999999,12.699999999999999
2015-10-31,0,22.100000000000001,9.4000000000000004
2015-12-26,0,17,6.2000000000000002
2015-10-30,0,20.199999999999999,8.5
2015-11-04,26,22.399999999999999,12.4
2015-11-02,0,21.5,8.5999999999999996
2015-11-08,0,20.5,8.8000000000000007
2015-11-26,0,16,5.4000000000000004
2015-11-28,0,15.4,4
2015-12-25,0,17.100000000000001,5.2999999999999998
2015-12-28,0,16.600000000000001,6.5
2015-01-08,0,14.9,6.7000000000000002
2015-02-03,64,11.800000000000001,3.3999999999999999
2015-03-06,0,16,1.5
2015-04-05,2,15.199999999999999,8.6999999999999993
2015-04-19,0,20.5,9.1999999999999993
2015-04-30,0,19.300000000000001,10.300000000000001
2015-05-02,0,21.100000000000001,15.199999999999999
2015-06-21,0,28.100000000000001,16.899999999999999
2015-07-04,0,32.700000000000003,21.199999999999999
2015-07-09,0,29,19.399999999999999
2015-07-12,0,29,18.600000000000001
2015-07-28,0,28.699999999999999,19.199999999999999
2015-08-09,0,31.399999999999999,21.899999999999999
2015-08-10,4,27.800000000000001,19.899999999999999
2015-08-30,0,31.899999999999999,16.5
2015-09-19,0,26,15.199999999999999
2015-09-21,0,25.5,12.4
2015-09-30,145,23.600000000000001,13.1
2015-10-02,26,20.300000000000001,15.6
2015-10-13,158,24,17.5
2015-11-06,0,20.899999999999999,11
2015-11-11,0,21.300000000000001,12
2015-12-02,0,16.800000000000001,5.9000000000000004
2015-01-05,0,16.5,2.6000000000000001
2015-01-16,51,20.699999999999999,7
2015-01-19,0,14.199999999999999,1.8
2015-03-07,0,15,1.8
2015-03-20,0,18.399999999999999,5.5999999999999996
2015-05-14,0,25,12.800000000000001
2015-06-23,0,28.100000000000001,15.6
2015-06-24,0,27.199999999999999,16.800000000000001
2015-06-30,0,28.399999999999999,17.899999999999999
2015-07-01,0,30.899999999999999,18.300000000000001
2015-07-31,0,28,19.699999999999999
2015-08-08,0,33.200000000000003,20.899999999999999
2015-08-25,0,29.300000000000001,19.600000000000001
2015-09-02,0,28.899999999999999,18
2015-09-05,0,27.199999999999999,17.199999999999999
2015-09-25,0,25.699999999999999,13
2015-11-03,8,21.399999999999999,11.1
2015-11-09,0,20.800000000000001,8.5
2015-11-14,0,20.800000000000001,14.300000000000001
2015-12-03,0,15.6,8.8000000000000007
2015-12-06,14,18.600000000000001,8.9000000000000004
2015-01-03,0,16.399999999999999,5.7000000000000002
2015-01-24,0,15.6,2
2015-02-24,32,11.6,7.9000000000000004
2015-02-27,0,15.199999999999999,7.2000000000000002
2015-01-07,0,15.800000000000001,7
2015-04-22,0,20.199999999999999,7.4000000000000004
2015-01-22,0,13.6,4.9000000000000004
2015-04-27,165,21.300000000000001,14.5
2015-01-25,0,15.1,2.2000000000000002
2015-05-09,2,22.600000000000001,10.800000000000001
2015-01-29,139,14.4,1.2
2015-05-10,0,22.899999999999999,10.9
2015-02-06,70,10.199999999999999,3.1000000000000001
2015-06-06,0,26.600000000000001,16.100000000000001
2015-02-08,0,12.6,2.7000000000000002
2015-06-08,0,26.800000000000001,17.399999999999999
2015-02-18,2,15.5,3.8999999999999999
2015-07-02,0,34.799999999999997,20
2015-02-22,0,15,6.5
2015-07-05,0,31.300000000000001,21.399999999999999
2015-03-17,0,14.1,7.2000000000000002
2015-07-15,0,30.899999999999999,21.199999999999999
2015-04-20,95,20.199999999999999,10.800000000000001
2015-07-23,0,30.800000000000001,21.300000000000001
2015-01-04,0,17.800000000000001,10
2015-04-28,4,17.699999999999999,13
2015-09-15,0,28,16.800000000000001
2015-01-23,0,16.199999999999999,3.2999999999999998
2015-05-05,0,30.100000000000001,16.699999999999999
2015-10-06,0,26.399999999999999,20.100000000000001
2015-03-19,0,18.399999999999999,6.5
2015-05-19,2,23.5,10.9
2015-11-01,0,21.699999999999999,8.9000000000000004
2015-04-11,0,17.800000000000001,6.2999999999999998
2015-06-19,0,27,16.5
2015-11-05,2,20.899999999999999,13
2015-05-16,0,22.5,10.699999999999999
2015-07-06,0,30.699999999999999,19.600000000000001
2015-11-13,0,19.800000000000001,14.800000000000001
2015-05-21,0,19.199999999999999,9.1999999999999993
2015-07-16,0,32.100000000000001,20.5
2015-11-17,0,20.399999999999999,9.1999999999999993
2015-05-31,0,23.300000000000001,12
2015-09-17,0,29.899999999999999,21.300000000000001
2015-11-19,0,20.600000000000001,10.1
2015-06-01,0,25.800000000000001,12.5
2015-09-23,2,22.199999999999999,15.199999999999999
2015-11-20,0,21,9.0999999999999996
2015-06-02,0,25.199999999999999,11.4
2015-09-26,0,25.699999999999999,13.699999999999999
2015-12-13,0,16.800000000000001,5.0999999999999996
2015-06-05,0,26.600000000000001,16.5
2015-10-10,80,22.300000000000001,15.5
2015-12-16,0,17.5,7.4000000000000004
2015-06-12,0,33,18.199999999999999
2015-10-14,109,20,16.600000000000001
2015-12-22,2,17.399999999999999,8.4000000000000004
2015-06-15,6,25.800000000000001,18.100000000000001
2015-10-25,0,20.199999999999999,10.800000000000001
2015-12-29,0,16.199999999999999,3.3999999999999999
2015-06-26,0,26.600000000000001,14.699999999999999
2015-10-28,165,23.199999999999999,17.300000000000001
2015-07-13,0,29.100000000000001,19.199999999999999
2015-11-07,2,21,10.199999999999999
2015-07-27,0,30,19.100000000000001
2015-11-29,0,16.100000000000001,4.5999999999999996
2015-08-11,0,30.899999999999999,17.699999999999999
2015-12-12,0,17.800000000000001,4.5
2015-08-15,0,27.5,19.100000000000001
2015-12-14,0,16.800000000000001,4.2000000000000002
2015-08-28,0,29.100000000000001,17.399999999999999
2015-09-14,0,28.300000000000001,22.399999999999999
2015-10-07,0,24.300000000000001,18.600000000000001
2015-10-26,0,21.899999999999999,12.1
2015-12-04,0,16.199999999999999,8.6999999999999993
2015-12-24,0,17.399999999999999,6.0999999999999996
2015-01-01,0,12.300000000000001,-2.8999999999999999
2015-01-02,0,14.9,0.80000000000000004
2015-01-27,0,14.5,-0.10000000000000001
2015-02-02,10,12.5,2.3999999999999999
2015-02-04,67,12.300000000000001,7.0999999999999996
2015-02-13,0,15.300000000000001,4.0999999999999996
2015-02-19,0,15.5,3.3999999999999999
2015-02-23,26,13.699999999999999,3.3999999999999999
2015-03-11,0,15.699999999999999,3.3999999999999999
2015-04-15,0,20.100000000000001,7.2000000000000002
2015-04-16,14,24.199999999999999,7
2015-04-26,0,24.199999999999999,13.199999999999999
2015-07-03,0,32.100000000000001,20.600000000000001
2015-07-14,0,30.399999999999999,20.100000000000001
2015-08-20,0,27.300000000000001,15.4
2015-08-23,0,31.199999999999999,17.600000000000001
2015-08-29,0,30.399999999999999,18
2015-09-10,0,27,14.199999999999999
2015-09-20,0,26.800000000000001,14.1
2015-10-16,0,18.800000000000001,10.300000000000001
2015-10-27,43,21.300000000000001,15.199999999999999
2015-12-27,0,16.699999999999999,5.5999999999999996
2015-12-31,2,16.399999999999999,7.2000000000000002
2015-01-11,0,17.399999999999999,7
2015-01-13,0,14.4,0.59999999999999998
2015-02-16,46,11.300000000000001,7.7000000000000002
2015-02-21,30,14,4.4000000000000004
2015-03-24,0,19.100000000000001,5.7000000000000002
2015-03-29,0,17.399999999999999,5
2015-04-03,0,17.5,6
2015-04-08,0,17.199999999999999,3.1000000000000001
2015-04-10,0,17.899999999999999,4.2000000000000002
2015-04-14,0,19.100000000000001,6.2000000000000002
2015-05-04,0,28.300000000000001,12.800000000000001
2015-05-18,0,23.600000000000001,13.6
2015-07-19,0,35.700000000000003,21.399999999999999
2015-07-20,0,31.199999999999999,19.800000000000001
2015-07-24,0,30.699999999999999,23.300000000000001
2015-08-16,0,26.399999999999999,17.600000000000001
2015-08-17,0,27.600000000000001,17.399999999999999
2015-09-22,6,25.300000000000001,12.800000000000001
2015-10-09,16,23.699999999999999,11.9
2015-10-22,0,21,11.9
2015-12-09,4,15.800000000000001,7
2015-12-11,2,16.600000000000001,4.5
2015-12-18,0,17.600000000000001,5.5999999999999996
2015-12-19,0,18.5,9
2016-03-12,0,16.800000000000001,3.7000000000000002
2016-03-26,0,17.399999999999999,6.7000000000000002
2016-03-29,0,18.199999999999999,7.7999999999999998
2016-04-14,0,21.5,8.6999999999999993
2016-04-15,0,20.399999999999999,7
2016-04-19,0,20.600000000000001,6.2000000000000002
2016-04-21,12,21.899999999999999,8.0999999999999996
2016-05-21,0,21.800000000000001,10.5
2016-05-23,0,18.600000000000001,14
2016-06-02,18,20.600000000000001,14.4
2016-06-22,0,28,15.300000000000001
2016-07-01,0,28.5,18
2016-07-10,0,34.399999999999999,18.399999999999999
2016-07-19,0,32,15
2016-07-23,0,33.700000000000003,24.300000000000001
2016-08-15,0,30.399999999999999,16.800000000000001
2016-08-17,0,28.399999999999999,18
2016-08-20,0,30.899999999999999,18.5
2016-08-21,0,28.5,18.699999999999999
2016-09-26,0,25.199999999999999,14.800000000000001
2016-10-03,0,25.699999999999999,15
2016-10-08,0,24,13.300000000000001
2016-10-15,2,23.699999999999999,15.1
2016-10-26,4,25.699999999999999,19
2016-12-06,0,18.899999999999999,11.9
2016-12-12,0,17.300000000000001,9.9000000000000004
2016-12-13,0,17.800000000000001,4
2016-02-17,8,14.4,7.7000000000000002
2016-02-20,0,14.699999999999999,3.7000000000000002
2016-03-23,20,18,11.199999999999999
2016-04-01,0,19.5,12.699999999999999
2016-05-11,72,21.800000000000001,16.600000000000001
2016-05-29,6,22.800000000000001,17.800000000000001
2016-06-05,0,24.100000000000001,14.300000000000001
2016-06-28,0,26.100000000000001,13.1
2016-07-11,0,30.300000000000001,20.100000000000001
2016-07-21,0,28.100000000000001,15.300000000000001
2016-07-26,0,27.800000000000001,18.800000000000001
2016-08-02,0,28.399999999999999,16.5
2016-08-06,0,31.5,16.100000000000001
2016-08-22,0,28.600000000000001,15.199999999999999
2016-09-09,0,28.5,17.600000000000001
2016-10-01,20,26.699999999999999,14.4
2016-12-19,304,13.300000000000001,3.6000000000000001
2016-12-31,0,15.1,4.2999999999999998
2016-01-01,20,16.899999999999999,10.5
2016-01-02,89,15.699999999999999,11.800000000000001
2016-01-17,0,12.9,-1.8
2016-01-03,121,15.4,11.199999999999999
2016-02-14,24,16.399999999999999,9.4000000000000004
2016-01-22,0,14.800000000000001,3.2999999999999998
2016-02-28,399,11.5,7.5
2016-01-23,0,12,3.8999999999999999
2016-03-09,0,14.4,2.8999999999999999
2016-01-29,0,15.9,7.2999999999999998
2016-03-19,2,16.300000000000001,4.7000000000000002
2016-02-16,18,16.399999999999999,7.7000000000000002
2016-05-12,0,20.199999999999999,14.4
2016-03-07,10,13.300000000000001,3.5
2016-06-08,0,24.600000000000001,14.9
2016-03-27,34,18,6.2999999999999998
2016-06-10,0,25.899999999999999,16.600000000000001
2016-04-22,0,20.100000000000001,13.5
2016-07-03,0,26.699999999999999,17.899999999999999
2016-05-02,0,19.699999999999999,6.5999999999999996
2016-09-28,0,25.5,12.9
2016-05-03,0,19.899999999999999,7.5
2016-11-02,2,21.300000000000001,10.800000000000001
2016-05-06,0,24.899999999999999,8
2016-11-14,14,18.899999999999999,8.6999999999999993
2016-05-13,170,20.600000000000001,14.300000000000001
2016-11-24,302,20.699999999999999,15.4
2016-05-19,14,19.800000000000001,10.6
2016-12-11,18,18.399999999999999,12.199999999999999
2016-06-09,0,24.800000000000001,16.399999999999999
2016-08-11,0,28.699999999999999,15.800000000000001
2016-09-03,0,29,17.199999999999999
2016-09-24,0,26.300000000000001,14.800000000000001
2016-09-30,0,25.399999999999999,12
2016-10-10,51,21.899999999999999,11
